,Movie_ID,Rev_ID,Sen_ID,Word,POS,aspect_category
1,tt0029850,7935,1,Eisenstein,noun,directing
3,tt0029850,7935,1,his collaboration,noun,?
5,tt0029850,7935,1,Prokeviev,noun,?
9,tt0029850,7935,1,partnership,noun,?
17,tt0029850,7935,1,image,noun,?
19,tt0029850,7935,1,music,noun,?
21,tt0029850,7935,1,scene,noun,?
23,tt0029850,7935,1,scene,noun,?
28,tt0029850,7935,2,sound recording,noun,?
31,tt0029850,7935,2,disaster,noun,?
37,tt0029850,7935,2,devotion,noun,?
39,tt0029850,7935,2,authenticity,noun,?
41,tt0029850,7935,2,Criterion DVD,noun,?
43,tt0029850,7935,2,backfires,noun,?
53,tt0029850,7935,3,version,noun,?
56,tt0029850,7935,3,film,noun,?
58,tt0029850,7935,3,VHS BMG Classics,noun,?
62,tt0029850,7935,3,re recording,noun,?
65,tt0029850,7935,3,music,noun,?
68,tt0029850,7935,3,St,noun,?
70,tt0029850,7935,4,Petersburg Philharmonic Orchestra,noun,?
72,tt0029850,7935,4,Chorus,noun,?
80,tt0029850,7935,5,film,noun,?
83,tt0029850,7935,5,propaganda films,noun,?
85,tt0029850,7935,5,England,noun,?
87,tt0029850,7935,5,Germany,noun,?
91,tt0029850,7935,5,United States,noun,?
93,tt0029850,7935,6,Eisenstein,noun,directing
95,tt0029850,7935,6,film,noun,?
102,tt0029850,7935,6,response,noun,?
105,tt0029850,7935,6,fear,noun,?
109,tt0029850,7935,6,invasion,noun,?
112,tt0029850,7935,6,Olivier,noun,?
120,tt0029850,7935,6,invasion,noun,?
122,tt0029850,7935,6,England,noun,?
128,tt0029850,7935,7,films,noun,?
130,tt0029850,7935,7,stagey,noun,?
135,tt0029850,7935,7,ways,noun,?
137,tt0029850,7935,8,Olivier,noun,?
143,tt0029850,7935,8,performance,noun,?
146,tt0029850,7935,8,play,noun,?
149,tt0029850,7935,8,Globe Theater,noun,?
151,tt0029850,7935,8,Shakespeare,noun,?
154,tt0029850,7935,8,company,noun,?
162,tt0029850,7935,8,theater,noun,?
172,tt0029850,7935,9,Eisenstein,noun,directing
174,tt0029850,7935,9,film,noun,?
179,tt0029850,7935,9,beginning,noun,?
183,tt0029850,7935,9,dialog,noun,?
185,tt0029850,7935,9,speeches,noun,?
193,tt0029850,7935,9,conventions,noun,?
197,tt0029850,7935,9,Russian theater,noun,?
204,tt0029850,7935,10,Cerkassov,noun,?
206,tt0029850,7935,10,speeches,noun,?
208,tt0029850,7935,10,Alexander,noun,?
211,tt0029850,7935,10,part,noun,?
213,tt0029850,7935,10,his job,noun,?
216,tt0029850,7935,10,prince,noun,?
219,tt0029850,7935,10,leader,noun,?
224,tt0029850,7935,10,role,noun,?
226,tt0029850,7935,10,public,noun,?
229,tt0029850,7935,11,Nazi Germany,noun,?
234,tt0029850,7935,11,propaganda film,noun,?
236,tt0029850,7935,11,Leni Riefenstahl,noun,?
239,tt0029850,7935,11,Triumph,noun,?
242,tt0029850,7935,11,Will,noun,?
249,tt0029850,7935,11,spectacle,noun,?
251,tt0029850,7935,11,crowds,noun,?
253,tt0029850,7935,11,Hitler,noun,?
255,tt0029850,7935,11,ranting speeches,noun,?
258,tt0029850,7935,12,propaganda,noun,?
260,tt0029850,7935,12,her masterpiece,noun,?
263,tt0029850,7935,12,film,noun,?
267,tt0029850,7935,12,Berlin Olympics,noun,?
271,tt0029850,7935,12,subtler,noun,?
274,tt0029850,7935,12,its worship,noun,?
278,tt0029850,7935,12,male body,noun,?
281,tt0029850,7935,12,undertones,noun,?
284,tt0029850,7935,12,Aryan superiority myth,noun,?
289,tt0029850,7935,13,propaganda films,noun,?
295,tt0029850,7935,14,Karl Ritter,noun,?
297,tt0029850,7935,14,Urlaub auf Ehrenwort Furlough,noun,?
299,tt0029850,7935,14,Word,noun,?
301,tt0029850,7935,14,Honor,noun,?
309,tt0029850,7935,15,lieutenant,noun,?
312,tt0029850,7935,15,men,noun,?
314,tt0029850,7935,15,his company,noun,?
319,tt0029850,7935,15,hour,noun,?
325,tt0029850,7935,15,WWI trenches,noun,?
329,tt0029850,7935,15,death,noun,?
333,tt0029850,7935,16,advice,noun,?
335,tt0029850,7935,16,veterans,noun,?
339,tt0029850,7935,16,their word,noun,?
341,tt0029850,7935,16,honor,noun,?
361,tt0029850,7935,17,return,noun,?
375,tt0029850,7935,17,audiences,noun,?
378,tt0029850,7935,17,displays,noun,?
380,tt0029850,7935,17,duty,noun,?
382,tt0029850,7935,17,their country,noun,?
386,tt0029850,7935,18,United States,noun,?
393,tt0029850,7935,18,propaganda films,noun,?
395,tt0029850,7935,18,Howard Hawks,noun,?
397,tt0029850,7935,18,Air Force,noun,?
406,tt0029850,7935,19,crew,noun,?
409,tt0029850,7935,19,bomber,noun,?
411,tt0029850,7935,19,they bond,noun,?
417,tt0029850,7935,19,experience,noun,?
419,tt0029850,7935,19,battle,noun,?
423,tt0029850,7935,19,obstacles,noun,?
426,tt0029850,7935,19,their part,noun,?
429,tt0029850,7935,19,war,noun,?
433,tt0029850,7935,20,Hawks,noun,?
435,tt0029850,7935,20,films,noun,?
441,tt0029850,7935,20,loyalty,noun,?
449,tt0029850,7935,20,their country,noun,?
451,tt0029850,7935,21,Eisenstein,noun,directing
458,tt0029850,7935,21,history,noun,?
464,tt0029850,7935,21,triumphs,noun,?
468,tt0029850,7935,22,Alexander,noun,?
473,tt0029850,7935,22,princes,noun,?
478,tt0029850,7935,22,Vikings,noun,?
483,tt0029850,7935,22,Russian rivers,noun,?
490,tt0029850,7935,22,fiefdoms,noun,?
496,tt0029850,7935,23,conquerer,noun,?
501,tt0029850,7935,23,conquerer,noun,?
503,tt0029850,7935,24,Physically,noun,?
512,tt0029850,7935,24,actors,noun,?
516,tt0029850,7935,24,princes,noun,?
521,tt0029850,7935,24,their ugliness,noun,?
524,tt0029850,7935,24,stupidity,noun,?
529,tt0029850,7935,25,contrast,noun,?
534,tt0029850,7935,25,soldiers,noun,?
538,tt0029850,7935,26,peasants,noun,?
546,tt0029850,7935,26,nobles,noun,?
551,tt0029850,7935,26,peasants,noun,?
557,tt0029850,7935,26,shield wall,noun,?
561,tt0029850,7935,26,Russians,noun,?
564,tt0029850,7935,26,foot,noun,?
567,tt0029850,7935,26,their masters,noun,?
573,tt0029850,7935,27,truth,noun,?
576,tt0029850,7935,27,contrast,noun,?
579,tt0029850,7935,28,serfs,noun,?
582,tt0029850,7935,28,Middle Ages,noun,?
590,tt0029850,7935,28,counterparts,noun,?
599,tt0029850,7935,28,wilderness,noun,?
604,tt0029850,7935,28,land,noun,?
606,tt0029850,7935,29,Eisenstein,noun,directing
608,tt0029850,7935,29,film,noun,?
615,tt0029850,7935,29,sight,noun,?
617,tt0029850,7935,29,Alexander,noun,?
620,tt0029850,7935,29,fisherman,noun,?
624,tt0029850,7935,30,battle,noun,?
627,tt0029850,7935,30,Germans,noun,?
631,tt0029850,7935,30,his fisherman,noun,?
633,tt0029850,7935,30,knowledge,noun,?
636,tt0029850,7935,30,ice,noun,?
640,tt0029850,7935,30,his knowledge,noun,?
644,tt0029850,7935,30,tactics,noun,?
650,tt0029850,7935,31,Gavrilo,noun,?
653,tt0029850,7935,31,shield wall,noun,?
664,tt0029850,7935,31,West side,noun,?
667,tt0029850,7935,31,lake,noun,?
671,tt0029850,7935,31,ice,noun,?
679,tt0029850,7935,32,pleasures,noun,?
681,tt0029850,7935,32,Eisenstein,noun,directing
683,tt0029850,7935,32,film,noun,?
686,tt0029850,7935,32,audiences miss,noun,?
691,tt0029850,7935,32,way,noun,?
696,tt0029850,7935,32,politics,noun,?
699,tt0029850,7935,32,Russia,noun,?
701,tt0029850,7935,33,Cities,noun,?
703,tt0029850,7935,33,Pskov,noun,?
705,tt0029850,7935,33,Novgorod,noun,?
709,tt0029850,7935,33,wealth,noun,?
711,tt0029850,7935,33,prominence,noun,?
719,tt0029850,7935,33,merchants,noun,?
721,tt0029850,7935,33,power,noun,?
726,tt0029850,7935,33,princes,noun,?
730,tt0029850,7935,33,expertise,noun,?
733,tt0029850,7935,33,levies,noun,?
738,tt0029850,7935,33,invaders,noun,?
742,tt0029850,7935,34,film,noun,?
744,tt0029850,7935,34,Alexander,noun,?
752,tt0029850,7935,34,leader,noun,?
758,tt0029850,7935,34,master politician,noun,?
766,tt0029850,7935,34,his time,noun,?
775,tt0029850,7935,34,his popularity,noun,?
778,tt0029850,7935,34,victory,noun,?
780,tt0029850,7938,1,Alexander Nevsky,noun,?
783,tt0029850,7938,1,series,noun,?
786,tt0029850,7938,1,sequences,noun,?
789,tt0029850,7938,1,opera,noun,?
791,tt0029850,7938,1,pass,noun,?
795,tt0029850,7938,1,lamentation,noun,?
797,tt0029850,7938,1,end,noun,?
801,tt0029850,7938,1,cantata,noun,?
804,tt0029850,7938,2,story,noun,?
806,tt0029850,7938,2,place,noun,?
810,tt0029850,7938,3,Prince Alexander Nevsky Nikolai Cherkasov,noun,?
813,tt0029850,7938,3,Teutonic Knights,noun,?
816,tt0029850,7938,3,battle,noun,?
819,tt0029850,7938,3,ice,noun,?
821,tt0029850,7938,3,Lake Peipus,noun,?
824,tt0029850,7938,4,film,noun,?
829,tt0029850,7938,4,pageant,noun,?
832,tt0029850,7938,4,director Sergei Eisenstein,noun,?
840,tt0029850,7938,4,climaxes,noun,?
844,tt0029850,7938,4,battle sequence,noun,?
846,tt0029850,7938,4,music,noun,?
850,tt0029850,7938,4,sounds,noun,?
853,tt0029850,7938,5,films,noun,?
855,tt0029850,7938,5,scenes,noun,?
860,tt0029850,7938,5,Battle,noun,?
862,tt0029850,7938,5,Lake Peipus,noun,?
865,tt0029850,7938,5,Doctor Zhivago,noun,?
868,tt0029850,7938,5,Mulan,noun,?
872,tt0029850,7938,5,King Arthur,noun,?
875,tt0029850,7938,6,Alexander Nevsky,noun,?
880,tt0029850,7938,6,circulation,noun,?
885,tt0029850,7938,6,winds,noun,?
895,tt0029850,7938,6,Soviet,noun,?
898,tt0029850,7938,6,film,noun,?
900,tt0029850,7934,1,Nevsky,noun,?
907,tt0029850,7934,1,war films,noun,?
911,tt0029850,7934,2,others,noun,?
915,tt0029850,7934,2,Birth,noun,?
918,tt0029850,7934,2,Nation,noun,?
920,tt0029850,7934,2,Napoleon,noun,?
927,tt0029850,7934,2,one,noun,?
934,tt0029850,7934,3,acting,noun,?
936,tt0029850,7934,3,stock,noun,?
939,tt0029850,7934,3,anyone,noun,?
944,tt0029850,7934,3,thing,noun,?
946,tt0029850,7934,3,Eisenstein,noun,directing
952,tt0029850,7934,3,part,noun,?
954,tt0029850,7934,3,his theory,noun,?
956,tt0029850,7934,3,film,noun,?
959,tt0029850,7934,4,film,noun,?
966,tt0029850,7934,4,works,noun,?
972,tt0029850,7934,4,individual,noun,?
980,tt0029850,7934,4,group,noun,?
986,tt0029850,7934,5,philosophy,noun,?
992,tt0029850,7934,5,fore,noun,?
997,tt0029850,7934,6,his film,noun,?
1001,tt0029850,7934,6,power,noun,?
1007,tt0029850,7934,6,people,noun,?
1012,tt0029850,7934,6,something,noun,?
1018,tt0029850,7934,7,Nevsky,noun,?
1024,tt0029850,7934,7,men,noun,?
1043,tt0029850,7934,8,rest,noun,?
