,Movie_ID,Rev_ID,Sen_ID,Word,POS,aspect_category
4,tt0089280,3074,1,cocaine,noun,?
18,tt0089280,3074,2,someone,noun,?
25,tt0089280,3074,2,time,noun,?
27,tt0089280,3074,2,effort,noun,?
29,tt0089280,3074,2,money,noun,?
32,tt0089280,3074,2,audience brain cells,noun,?
36,tt0089280,3074,2,drivel,noun,?
44,tt0089280,3074,3,comedy,noun,?
55,tt0089280,3074,4,trash,noun,?
72,tt0089280,3074,5,joke,noun,?
86,tt0089280,3074,6,joke right,noun,?
88,tt0089280,3074,7,Someone,noun,?
95,tt0089280,3074,7,joke,noun,?
99,tt0089280,3075,1,Yep.,noun,?
114,tt0089280,3075,1,movies,noun,?
123,tt0089280,3075,2,Think Gremlins,noun,?
125,tt0089280,3075,2,R.,noun,?
131,tt0089280,3075,3,Rick Sloane,noun,directing
134,tt0089280,3075,3,sci,noun,?
136,tt0089280,3075,3,convention,noun,?
153,tt0089280,3075,4,budget conventions,noun,?
156,tt0089280,3075,4,everything,noun,?
160,tt0089280,3075,4,everyone,noun,?
163,tt0089280,3075,4,something,noun,?
169,tt0089280,3075,4,crap,noun,?
178,tt0089280,3075,4,friends,noun,?
190,tt0089280,3075,5,guy,noun,?
197,tt0089280,3075,5,my questions,noun,?
199,tt0089280,3075,5,comments,noun,?
201,tt0089280,3075,5,Hobgoblins,noun,?
219,tt0089280,3075,5,MST3K version,noun,?
225,tt0089280,3075,6,Rick Sloane,noun,directing
240,tt0089280,3075,7,Mars Attacks,noun,?
251,tt0089280,3075,8,movie,noun,?
261,tt0089280,3075,8,my fellow MSTies,noun,?
263,tt0089280,3075,9,Sorry guys,noun,?
266,tt0089280,3076,1,movie,noun,?
282,tt0089280,3076,2,movie,noun,?
287,tt0089280,3076,2,brain damage,noun,?
291,tt0089280,3076,3,characters,noun,?
295,tt0089280,3076,3,non hero Kevin,noun,?
297,tt0089280,3076,3,Amy,noun,?
299,tt0089280,3076,3,his bratty,noun,?
303,tt0089280,3076,3,girlfriend,noun,?
305,tt0089280,3076,3,Kyle,noun,?
308,tt0089280,3076,3,dork,noun,?
311,tt0089280,3076,3,shorts,noun,?
314,tt0089280,3076,3,phone sex,noun,?
316,tt0089280,3076,3,Daphne,noun,?
322,tt0089280,3076,3,girl,noun,?
334,tt0089280,3076,3,sense,noun,?
343,tt0089280,3076,3,boyfriend Nick,noun,?
346,tt0089280,3076,3,army recruit who,noun,?
350,tt0089280,3076,3,innuendo,noun,?
353,tt0089280,3076,3,anything,noun,?
355,tt0089280,3076,4,"No,",noun,?
364,tt0089280,3076,4,REALLY,noun,?
367,tt0089280,3076,4,movie,noun,?
371,tt0089280,3076,5,movie,noun,?
382,tt0089280,3076,5,Gremlins,noun,?
390,tt0089280,3076,5,trace,noun,?
392,tt0089280,3076,5,Gizmo,noun,?
395,tt0089280,3076,6,"No,",noun,?
397,tt0089280,3076,6,Hobgoblins,noun,?
401,tt0089280,3076,6,Wimpy Man I,noun,?
405,tt0089280,3076,6,Kevin,noun,?
408,tt0089280,3076,6,someone,noun,?
411,tt0089280,3076,6,dreams,noun,?
419,tt0089280,3076,6,victims,noun,?
433,tt0089280,3076,7,strip club,noun,?
438,tt0089280,3076,7,Amy,noun,?
441,tt0089280,3076,7,dream,noun,?
449,tt0089280,3076,7,stripper,noun,?
