,Movie_ID,Rev_ID,Sen_ID,Sentence
1,tt0089280,3074,1,Even for the cocaine laced 1980's this is a pathetic.
2,tt0089280,3074,2,"I don't understand why someone would want to waste celluloid, time, effort, money, and audience brain cells to make such drivel."
3,tt0089280,3074,3,"If your going to make a comedy, make it funny."
4,tt0089280,3074,4,If you want to film trash like this keep it to yourself.
5,tt0089280,3074,5,If you're going to release it as a joke like this: DON'T!!!
6,tt0089280,3074,6,"I mean, it was a joke right."
7,tt0089280,3074,7,Someone please tell me this was a joke. please.
8,tt0089280,3075,1,"Yep.. this is definatly up there with some of the worst of the MSTifyed movies, but I have definately seen worse."
9,tt0089280,3075,2,Think Gremlins rated R.
10,tt0089280,3075,3,"Well anyway, I met Rick Sloane at some sci fi convention, that amazingly, he was lecturing at!"
11,tt0089280,3075,4,"It was one of those really low budget conventions, where everything goes, an everyone brought in something if you want to see crap, you should have of seen what some friends and I brought in."
12,tt0089280,3075,5,"He seemed like a very nice guy, he was very cool about my questions and comments on Hobgoblins, and he even told me not to take it seriously, and said he loved the MST3K version!"
13,tt0089280,3075,6,"All in all, Rick Sloane knew what he was doing."
14,tt0089280,3075,7,And I think was meant to bad like Mars Attacks.
15,tt0089280,3075,8,"So I guess I'm standing up for this movie and giving it a 5, and betraying all my fellow MSTies."
16,tt0089280,3075,9,Sorry guys.
17,tt0089280,3076,1,This movie should not be viewed unless you are trying to kill yourself.
18,tt0089280,3076,2,I think this movie could actually cause severe brain damage.
19,tt0089280,3076,3,"The main characters are the whiny non hero Kevin, Amy, his bratty, ungodly conservative girlfriend, Kyle, a dork in red shorts who enjoys phone sex, Daphne, a scrawny, horny girl who is supposed to be ""cool"" and has no sense of how to dress, and her oversexed boyfriend Nick, an army recruit who can make an innuendo out of anything."
20,tt0089280,3076,4,"No, I'm not a pervert, that's REALLY how the movie goes."
21,tt0089280,3076,5,"The movie itself is an over sexed rip off of 1986's Gremlins, only you'll never find a trace of Gizmo anywhere."
22,tt0089280,3076,6,"No, these Hobgoblins, unleashed by Wimpy Man I'm sorry, Kevin, make someone's wildest dreams come true, and then kill the victims."
23,tt0089280,3076,7,"Yes, you guessed it Eventually, they wind up in a strip club, where the nerdy Amy's greatest dream is revealed She wants to be a stripper!"
24,tt0089280,3076,8,"Look, I watched this flick via MST3K, and even with Mike Nelson, Tom Servo, and Crow T."
25,tt0089280,3076,9,Robot making a laughing stock out of this cinematic trainwreck and it still made me bleed from both eyes.
26,tt0089280,3076,10,"Not really, but I wish I had."
27,tt0089280,3076,11,"I'm not giving you anymore plot, because reliving it gives me this great urge to drive a pitchfork through my brain."
28,tt0089280,3076,12,"Besides, it's not like there's a plot worth mentioning."
29,tt0089280,3076,13,They should put a Surgeon's General Warning on this film.
30,tt0089280,3077,1,Hobgoblins... what a concept.
31,tt0089280,3077,2,Rick Sloan was a master with this film.
32,tt0089280,3077,3,He had the brilliance to produce a film with actors that couldn't act.
33,tt0089280,3077,4,"On top of that, he chose to write a script based on some sort of bad acid trip gone serriously wrong."
34,tt0089280,3077,5,"Put it together, you end up with a film that sucks more than a warehouse filled with suction cups and vaccum cleaners."
35,tt0089280,3077,6,This movie was very painful.
36,tt0089280,3077,7,"The pain it caused is about equal to the pain caused by having your genitals carved out with a spoon, and then having the entire wound covered with salt and Hydrochloric acid."
37,tt0089280,3078,1,I didn't think it was possible for a horror comedy film to fail so abysmally on both fronts....really awful.
38,tt0089280,3078,2,"The fact that it doesn't take itself seriously usually a good thing works against it, primarily because the actors are so wooden you really would swear they are reading cue cards."
39,tt0089280,3078,3,"On the upshot though.....the MST3K version, as always, has a few laughs...."
40,tt0089280,3079,1,"My favorite quote from Crow was, when the car was going off the cliff, ""The movie is so bad, even the car wants to get out of it!"""
41,tt0089280,3079,2,This had to be the funniest movie I have ever seen.
42,tt0089280,3079,3,"It was seriously out there to scare you, which makes it even funnier!"
43,tt0089280,3079,4,If it weren't for Mystery Science Theater I wouldn't be here today! : P
44,tt0089280,3080,1,Hee hee hee.
