"","no","Rev_ID","Sen_ID","Word","POS","aspect.category"
"1","tt0029850",7915,1,"Eisenstein","noun","direction"
"2","tt0029850",7915,1,"sound film","noun","general"
"3","tt0029850",7915,1,"battle","noun","no"
"4","tt0029850",7915,1,"ice","noun","no"
"5","tt0029850",7915,1,"Russians","noun","no"
"6","tt0029850",7915,1,"Alexander Nevsky","noun","no"
"7","tt0029850",7915,1,"knights","noun","no"
"8","tt0029850",7915,1,"Russia","noun","no"
"9","tt0029850",7915,1,"Roman Catholicism","noun","no"
"10","tt0029850",7915,2,"Nevsky","noun","no"
"11","tt0029850",7915,2,"piece","noun","no"
"12","tt0029850",7915,2,"propaganda","noun","no"
"13","tt0029850",7915,2,"Germanic knights","noun","no"
"14","tt0029850",7915,2,"helmets","noun","no"
"15","tt0029850",7915,2,"stand ins","noun","no"
"16","tt0029850",7915,2,"Nazis","noun","no"
"17","tt0029850",7915,3,"butchery","noun","no"
"18","tt0029850",7915,3,"knights","noun","no"
"19","tt0029850",7915,3,"town","noun","no"
"20","tt0029850",7915,3,"warning","noun","no"
"21","tt0029850",7915,3,"massacres","noun","no"
"22","tt0029850",7915,3,"World War II","noun","no"
"23","tt0029850",7915,4,"film","noun","general"
"24","tt0029850",7915,4,"warning","noun","no"
"25","tt0029850",7915,4,"Russia","noun","no"
"26","tt0029850",7915,4,"sword","noun","no"
"27","tt0029850",7915,4,"sword","noun","no"
"28","tt0029850",7915,5,"daguerreotype","noun","no"
"29","tt0029850",7915,5,"Eisenstein","noun","direction"
"30","tt0029850",7915,5,"return","noun","no"
"31","tt0029850",7915,5,"favor","noun","no"
"32","tt0029850",7915,6,"Stalin","noun","no"
"33","tt0029850",7915,6,"filmmakers","noun","direction"
"34","tt0029850",7915,6,"experimentation","noun","no"
"35","tt0029850",7915,6,"movies","noun","general"
"36","tt0029850",7915,6,"public","noun","no"
"37","tt0029850",7915,7,"Eisenstein","noun","direction"
"38","tt0029850",7915,7,"career","noun","no"
"39","tt0029850",7915,7,"Russia","noun","no"
"40","tt0029850",7915,7,"decade","noun","no"
"41","tt0029850",7915,7,"Nevsky","noun","no"
